铃木	すずき
塩泽	しおざわ
平岛	ひらしま
市野	いちの
下里	しもざと
春田	はるた
木暮	こぐれ
端山	はやま
柳下	やなぎした
柿沢	かきざわ
坂仓	さかくら
日吉	ひよし
甘粕	あまかす
幡野	はたの
岸野	きしの
新垣	あらかき
今福	いまふく
花上	はなうえ
岩仓	いわくら
杨	よう
黒瀬	くろせ
土桥	つちはし
大下	おおした
北嶋	きたじま
莳田	まきた
疋田	ひきた
稲本	いなもと
河田	かわた
猪瀬	いのせ
下地	しもじ
丹治	たんじ
三田村	みたむら
村中	むらなか
山梨	やまなし
伊丹	いたみ
高城	たかぎ
东郷	とうごう
松嶋	まつしま
菊地原	きくちはら
小峰	こみね
古郡	ふるごおり
宫地	みやじ
八重樫	やえがし
寺泽	てらさわ
畑野	はたの
卫藤	えとう
菅田	すがた
■冈	たかおか
井川	いがわ
岛本	しまもと
竹岛	たけしま
谷山	たにやま
玉城	たましろ
浜崎	はまさき
福住	ふくずみ
岛贯	しまぬき
小浜	こはま
高畑	たかはた
守田	もりた
池野	いけの
关沢	せきざわ
长	ちよう
手岛	てじま
米村	よねむら
草薙	くさなぎ
合田	ごうだ
三角	みすみ
水落	みずおち
由井	ゆい
吉见	よしみ
浅利	あさり
井关	いせき
船桥	ふなばし
浅仓	あさくら
矶村	いそむら
梶川	かじかわ
熊本	くまもと
笹尾	ささお
沢村	さわむら
白仓	しらくら
宫	みや
猿渡	さるわたり
尾岛	おじま
莲见	はすみ
肥后	ひご
村尾	むらお
泽口	さわぐち
城	じよう
岩桥	いわはし
木口	きぐち
鬼头	きとう
高久	たかく
峰	みね
森屋	もりや
鹈饲	うかい
田部井	たべい
永嶋	ながしま
三觜	みつはし
安倍	あべ
小口	こぐち
嶋	しま
仓岛	くらしま
志水	しみず
大杉	おおすぎ
菅	かん
宫永	みやなが
牛尾	うしお
岸川	きしかわ
塩原	しおばら
高冢	たかつか
鸟山	とりやま
羽田	はねだ
浜中	はまなか
松仓	まつくら
浦川	うらかわ
南条	なんじよう
村本	むらもと
柴原	しばはら
首藤	しゆとう
须崎	すざき
渕上	ふちがみ
小贯	おぬき
吉成	よしなり
有泉	ありいずみ
助川	すけがわ
秦野	はたの
山胁	やまわき
江上	えがみ
袴田	はかまだ
土岐	とき
新野	にいの
猪又	いのまた
宇山	うやま
鹰野	たかの
东山	ひがしやま
栉田	くしだ
中条	なかじよう
西森	にしもり
久野	ひさの
宫代	みやしろ
内川	うちかわ
小岩	こいわ
小针	こばり
藤谷	ふじたに
犬冢	いぬづか
大串	おおぐし
笹田	ささだ
逸见	へんみ
丸尾	まるお
芝	しば
布川	ふかわ
戸井田	といだ
浅场	あさば
奥原	おくはら
川俣	かわまた
笹木	ささき
金丸	かねまる
高津	たかつ
沼仓	ぬまくら
今野	いまの
瀬戸口	せとぐち
水本	みずもと
峰尾	みねお
高林	たかばやし
室田	むろた
小田桐	おだぎり
平木	ひらき
伊原	いはら
今关	いまぜき
仙波	せんば
柘植	つげ
入沢	いりさわ
小野瀬	おのせ
力石	ちからいし
鸟越	とりごえ
熊木	くまき
仙田	せんだ
石津	いしづ
上冈	かみおか
多贺	たが
中森	なかもり
妹尾	せのお
高沢	たかざわ
永冢	ながつか
深见	ふかみ
友田	ともだ
西崎	にしざき
能势	のせ
青沼	あおぬま
浦山	うらやま
虾名	えびな
坂上	さかうえ
谷田	たにだ
锅岛	なべしま
竹川	たけかわ
山谷	やまや
猪野	いの
牛山	うしやま
坂	さか
冈安	おかやす
角田	かくだ
桑山	くわやま
新川	しんかわ
吉武	よしたけ
若狭	わかさ
有山	ありやま
板谷	いたや
瀬谷	せや
照屋	てるや
土肥	どひ
田子	たご
本庄	ほんじよう
神部	かんべ
半泽	はんざわ
大隅	おおすみ
呉	ご
平沼	ひらぬま
堀之内	ほりのうち
前山	まえやま
新城	しんじよう
寺门	てらかど
土志田	どしだ
近江	おおみ
下野	しもの
代田	しろた
白坂	しらさか
手岛	てしま
戸川	とがわ
徳山	とくやま
富井	とみい
飞田	ひだ
丸茂	まるも
蓑岛	みのしま
望月	もちずき
譲原	ゆずりはら
泽野	さわの
真下	ましも
一瀬	いちのせ
荻田	おぎた
上山	かみやま
木曽	きそ
古宫	こみや
兵头	ひようどう
柿本	かきもと
狩野	かの
笹冈	ささおか
玉置	たまおき
穂积	ほづみ
小方	おがた
只野	ただの
一色	いつしき
臼居	うすい
舟山	ふなやま
若尾	わかお
赤尾	あかお
橘田	きつた
迫田	さこだ
高森	たかもり
早田	はやた
桐原	きりはら
井野	いの
砂田	すなだ
杉崎	すぎさき
■仓	たかくら
所	ところ
中冈	なかおか
両角	もろずみ
一条	いちじよう
久我	くが
寺岛	てらじま
桥诘	はしづめ
崎山	さきやま
深津	ふかつ
松谷	まつたに
峰岸	みねぎし
君岛	きみしま
寒河江	さがえ
首藤	しゆどう
杉■	すぎざき
本杉	もとすぎ
山之内	やまのうち
金本	かねもと
福泽	ふくざわ
相场	あいば
大渕	おおぶち
熊井	くまい
玉城	たまき
冨樫	とがし
広野	ひろの
入泽	いりさわ
大类	おおるい
关原	せきはら
■柳	たかやなぎ
田坂	たさか
中沟	なかみぞ
小高	こだか
松叶	まつば
山野井	やまのい
高部	たかべ
丹	たん
桧山	ひやま
加贺美	かがみ
荫山	かげやま
本城	ほんじよう
浅羽	あさば
桑名	くわな
■原	たかはら
広井	ひろい
和久井	わくい
亀冈	かめおか
君岛	きみじま
笹井	ささい
白浜	しらはま
宫里	みやざと
黒滝	くろたき
雑贺	さいか
稲见	いなみ
栗城	くりき
吉山	よしやま
鹿野	かの
■崎	たかさき
山际	やまぎわ
潮田	うしおだ
丸	まる
笈川	おいかわ
木野	きの
作田	さくた
新海	しんかい
戸冢	とづか
肥田	ひだ
盛	もり
八锹	やくわ
秋吉	あきよし
折田	おりた
柏	かしわ
柴野	しばの
杉森	すぎもり
宫腰	みやこし
野木	のぎ
宇贺神	うがじん
金城	かねしろ
中嶋	なかしま
安本	やすもと
■杉	たかすぎ
大垣	おおがき
黒坂	くろさか
泷本	たきもと
戸仓	とくら
中园	なかぞの
布川	ぬのかわ
姫野	ひめの
赤城	あかぎ
池永	いけなが
岩松	いわまつ
嵯峨	さが
矢萩	やはぎ
粟野	あわの
蛯名	えびな
苅部	かりべ
高谷	たかや
尾关	おぜき
加川	かがわ
竹沢	たけざわ
矢代	やしろ
石神	いしがみ
伊奈	いな
清家	せいけ
■久	たかく
生井	なまい
水沢	みずさわ
若菜	わかな
■尾	たかお
竹野	たけの
藤间	ふじま
山名	やまな
坂入	さかいり
霜岛	しもじま
坪内	つぼうち
锦织	にしきおり
辺见	へんみ
向山	むかいやま
山内	やまのうち
